CustNo,Branch SDN Name,LATITUDE,LONGITUDE,reverse_geotag_mediatrac,address_sap,checking,revisi_latlong
5810011477,SDN Semarang,-7.3328697,110.5092511,"5810011477 Jl. Taman Pahlawan, Tingkir, Kota Salatiga, Jawa Tengah 50742, Indonesia 50742",JL. TAMAN PAHLAWAN 29 SALATIGA PS. SALATIGA,ok,
5810034068,SDN Semarang,-7.069985,110.308855,"5810034068 Jl. Taman Rambutan I, Mijen, Kota Semarang, Jawa Tengah 50275, Indonesia 50275",JL. JATISARI INDAH B1 / 25 JATISARI MIJEN SEMARANG,ok,
5810034067,SDN Semarang,-7.069985,110.308855,"5810034067 Jl. Taman Rambutan I, Mijen, Kota Semarang, Jawa Tengah 50275, Indonesia 50275",JL. JATISARI INDAH D1 / 1 JATISARI MIJEN SEMARANG,ok,
5810035205,SDN Semarang,-6.9845069,110.4210959,"5810035205 Jl. Taman Seteran Baru, Semarang Tengah, Kota Semarang, Jawa Tengah 50134, Indonesia 50134",JL. SETERAN DALAM NO. 3 MIROTO SEMARANG TENGAH SEMARANG,ok,
5810012346,SDN Semarang,-7.0504094,110.3949693,"5810012346 Jl. Taman Siswa, Gn. Pati, Kota Semarang, Jawa Tengah 50229, Indonesia 50229",JL. TAMAN SISWA NO. 26 SEMARANG -,ok,
5810012240,SDN Semarang,-6.9838491,110.4612726,"5810012240 Jl. Taman Udan Riris II, Pedurungan, Kota Semarang, Jawa Tengah 50196, Indonesia 50196",JL. TAMAN UDAN RIRIS III NO. 24 RT. 014 RW. 015 TLOGOSARI SEMARANG,ok,
5810011953,SDN Semarang,-6.9571553,110.4047572,"5810011953 Jl. Tambak Mas Barat, Semarang Utara, Kota Semarang, Jawa Tengah 50177, Indonesia 50177",JL. TAMBAK MAS BARAT 12 SEMARANG -,ok,
5810012347,SDN Semarang,-6.9595829,110.4051239,"5810012347 Jl. Tambak Mas Raya, Semarang Utara, Kota Semarang, Jawa Tengah 50177, Indonesia 50177",JL. TAMBAK MAS RAYA 22 SEMARANG -,ok,
5810035207,SDN Semarang,-6.9756421,110.4159638,"5810035207 Jl. Tanjung, Semarang Tengah, Kota Semarang, Jawa Tengah 50132, Indonesia 50132",JL. TANJUNG NO. 3 PANDANSARI SEMARANG TENGAH SEMARANG,ok,
5820000738,SDN Semarang,-6.983463,110.344704,"5820000738 Jl. Tapak Tegalsari I, Tugu, Kota Semarang, Jawa Tengah 50182, Indonesia 50182",Jl. Raya Panjang Kedoya Elok Plaza Blok DE/12 Kedoya Selatan  -  Kebon Jeruk Jak,not ok,
5810032351,SDN Semarang,-7.007,110.425383,"5810032351 Jl. Tegalsari Bar. IIA, Candisari, Kota Semarang, Jawa Tengah 50614, Indonesia 50614",JL. TEGALSARI RAYA NO. 97 CANDISARI SEMARANG,ok,
5810011924,SDN Semarang,-7.0047313,110.4271709,"5810011924 Jl. Tegalsari Bar. Raya, Candisari, Kota Semarang, Jawa Tengah 50614, Indonesia 50614",JL. TEGAL SARI RAYA NO. 31 RT. 04 RW. 13 TEGALSARI SMG,ok,
